Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,C1,c_1,C2,c_2,C3,c_3,Cabin
0,1,male,29,0,0,27.7208,C,6,50,5,56,2,43,F
0,3,male,23.5,0,0,7.2292,C,6,50,5,56,2,43,F
0,1,female,2,1,2,151.55,S,2,22,1,26,2,43,B
1,1,male,29,0,0,30.5,S,2,106,5,56,2,43,B
1,1,female,50,0,1,247.5208,C,1,58,0,60,2,43,A
1,3,female,29,0,0,7.75,Q,6,50,5,56,2,43,F
1,3,male,29,2,0,23.25,Q,6,50,5,56,2,43,F
0,3,male,19,0,0,0,S,6,50,5,56,2,43,F
1,2,female,29,0,0,12.35,Q,4,101,5,56,2,43,D
0,3,male,29,0,0,8.05,S,6,50,5,56,2,43,F
1,1,male,0.92,1,2,151.55,S,2,22,1,26,2,43,B
1,1,female,29,0,0,110.8833,C,6,50,5,56,2,43,F
1,1,female,17,1,0,108.9,C,2,65,5,56,2,43,B
0,2,male,30,1,0,24,C,6,50,5,56,2,43,F
1,1,female,30,0,0,56.9292,C,4,36,5,56,2,43,D
1,1,female,24,0,0,83.1583,C,2,54,5,56,2,43,B
1,1,female,18,2,2,262.375,C,1,57,0,59,0,63,A
0,2,female,26,1,1,26,S,6,50,5,56,2,43,F
0,3,male,28,0,0,7.8958,S,6,50,5,56,2,43,F
0,2,male,43,1,1,26.25,S,6,50,5,56,2,43,F
1,3,female,26,0,0,7.8542,S,6,50,5,56,2,43,F
1,2,female,24,1,0,26,S,6,50,5,56,2,43,F
0,2,male,54,0,0,14,S,6,50,5,56,2,43,F
1,1,female,31,0,2,164.8667,S,2,7,5,56,2,43,B
1,1,female,40,1,1,134.5,C,4,34,5,56,2,43,D
0,3,male,22,0,0,7.25,S,6,50,5,56,2,43,F
0,3,male,27,0,0,7.8958,S,6,50,5,56,2,43,F
1,2,female,30,0,0,12.35,Q,6,50,5,56,2,43,F
1,2,female,22,1,1,29,S,6,50,5,56,2,43,F
0,3,male,29,8,2,69.55,S,6,50,5,56,2,43,F
1,1,female,36,0,0,135.6333,C,2,32,5,56,2,43,B
0,3,male,61,0,0,6.2375,S,6,50,5,56,2,43,F
1,2,female,36,0,0,13,S,3,50,5,56,2,43,C
1,3,female,31,1,1,20.525,S,6,50,5,56,2,43,F
1,1,female,16,0,1,57.9792,C,1,18,5,56,2,43,A
1,3,female,29,2,0,23.25,Q,6,50,5,56,2,43,F
0,1,male,45.5,0,0,28.5,S,2,124,5,56,2,43,B
0,1,male,38,0,1,153.4625,S,2,91,5,56,2,43,B
0,3,male,16,2,0,18,S,6,50,5,56,2,43,F
1,1,female,29,1,0,133.65,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.8958,S,6,50,5,56,2,43,F
0,1,male,29,1,0,66.6,S,2,2,5,56,2,43,B
1,1,female,41,0,0,134.5,C,4,40,5,56,2,43,D
1,3,male,45,0,0,8.05,S,6,50,5,56,2,43,F
0,1,male,45,0,0,35.5,S,7,50,5,56,2,43,G
1,2,male,2,1,1,26,S,5,2,5,56,2,43,E
1,1,female,24,3,2,263,S,2,23,1,25,1,27,B
0,2,male,28,0,0,13,S,6,50,5,56,2,43,F
0,2,male,25,0,0,13,S,6,50,5,56,2,43,F
0,2,male,36,0,0,13,S,6,50,5,56,2,43,F
1,2,female,24,0,0,13,S,5,33,5,56,2,43,E
1,2,female,40,0,0,13,S,6,50,5,56,2,43,F
1,3,female,29,1,0,16.1,S,6,50,5,56,2,43,F
1,3,male,3,1,1,15.9,S,6,50,5,56,2,43,F
0,3,male,42,0,0,8.6625,S,6,50,5,56,2,43,F
0,3,male,23,0,0,9.225,S,6,50,5,56,2,43,F
0,1,male,29,0,0,35,S,2,128,5,56,2,43,B
0,3,male,15,1,1,7.2292,C,6,50,5,56,2,43,F
0,3,male,25,1,0,17.8,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.225,C,6,50,5,56,2,43,F
0,3,male,28,0,0,9.5,S,6,50,5,56,2,43,F
1,1,female,22,0,1,55,S,4,33,5,56,2,43,D
0,2,female,38,0,0,13,S,6,50,5,56,2,43,F
1,3,female,29,0,0,7.8792,Q,6,50,5,56,2,43,F
1,3,female,29,0,0,7.8792,Q,6,50,5,56,2,43,F
0,3,male,40,1,4,27.9,S,6,50,5,56,2,43,F
0,2,male,29,1,0,27.7208,C,6,50,5,56,2,43,F
0,3,female,45,0,1,14.4542,C,6,50,5,56,2,43,F
0,3,male,35,0,0,7.05,S,6,50,5,56,2,43,F
0,3,male,29,1,0,15.5,Q,6,50,5,56,2,43,F
0,3,male,30,0,0,7.25,S,6,50,5,56,2,43,F
1,1,female,60,1,0,75.25,C,3,37,5,56,2,43,C
1,3,female,29,0,0,7.2292,C,6,50,5,56,2,43,F
1,3,female,29,0,0,7.75,Q,6,50,5,56,2,43,F
1,1,female,24,0,0,69.3,C,1,35,5,56,2,43,A
1,1,male,25,1,0,55.4417,C,4,50,5,56,2,43,D
0,3,male,18,1,0,6.4958,S,6,50,5,56,2,43,F
0,3,male,19,0,0,8.05,S,6,50,5,56,2,43,F
0,1,male,22,0,0,135.6333,C,6,50,5,56,2,43,F
0,3,female,3,3,1,21.075,S,6,50,5,56,2,43,F
1,1,female,29,1,0,82.1708,C,6,50,5,56,2,43,F
1,3,female,22,0,0,7.25,S,6,50,5,56,2,43,F
0,1,male,27,0,2,211.5,C,2,82,5,56,2,43,B
0,3,male,20,0,0,4.0125,C,6,50,5,56,2,43,F
0,3,male,19,0,0,7.775,S,6,50,5,56,2,43,F
1,1,female,42,0,0,227.525,C,6,50,5,56,2,43,F
1,3,female,1,0,2,15.7417,C,6,50,5,56,2,43,F
0,3,male,32,0,0,7.925,S,6,50,5,56,2,43,F
1,1,female,35,1,0,52,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.8958,S,6,50,5,56,2,43,F
0,2,male,18,0,0,73.5,S,6,50,5,56,2,43,F
0,3,male,1,5,2,46.9,S,6,50,5,56,2,43,F
1,2,female,36,0,0,13,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.7292,Q,6,50,5,56,2,43,F
1,2,female,17,0,0,12,C,6,50,5,56,2,43,F
1,1,male,36,1,2,120,S,1,96,0,98,2,43,A
1,3,male,21,0,0,7.7958,S,6,50,5,56,2,43,F
0,3,male,28,2,0,7.925,S,6,50,5,56,2,43,F
1,1,female,23,1,0,113.275,C,3,36,5,56,2,43,C
1,3,female,24,0,2,16.7,S,6,6,5,56,2,43,F
0,3,male,22,0,0,7.7958,S,6,50,5,56,2,43,F
0,3,female,31,0,0,7.8542,S,6,50,5,56,2,43,F
0,2,male,46,0,0,26,S,6,50,5,56,2,43,F
0,2,male,23,0,0,10.5,S,6,50,5,56,2,43,F
1,2,female,28,0,0,12.65,S,6,50,5,56,2,43,F
1,3,male,39,0,0,7.925,S,6,50,5,56,2,43,F
0,3,male,26,0,0,8.05,S,6,50,5,56,2,43,F
0,3,female,21,1,0,9.825,S,6,50,5,56,2,43,F
0,3,male,28,1,0,15.85,S,6,50,5,56,2,43,F
0,3,female,20,0,0,8.6625,S,6,50,5,56,2,43,F
0,2,male,34,1,0,21,S,6,50,5,56,2,43,F
0,3,male,51,0,0,7.75,S,6,50,5,56,2,43,F
1,2,male,3,1,1,18.75,S,6,50,5,56,2,43,F
0,3,male,21,0,0,7.775,S,6,50,5,56,2,43,F
0,3,female,29,3,1,25.4667,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.8958,S,6,50,5,56,2,43,F
0,3,male,29,0,0,6.8583,Q,6,50,5,56,2,43,F
1,1,female,33,1,0,90,Q,2,78,5,56,2,43,B
0,2,male,29,0,0,0,S,6,50,5,56,2,43,F
1,3,male,44,0,0,7.925,S,6,50,5,56,2,43,F
0,3,female,29,0,0,8.05,S,6,50,5,56,2,43,F
1,2,female,34,1,1,32.5,S,6,50,5,56,2,43,F
1,2,female,18,0,2,13,S,6,50,5,56,2,43,F
0,2,male,30,0,0,13,S,6,50,5,56,2,43,F
0,3,female,10,0,2,24.15,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.8958,C,6,50,5,56,2,43,F
0,3,male,21,0,0,7.7333,Q,6,50,5,56,2,43,F
0,3,male,29,0,0,7.875,S,6,50,5,56,2,43,F
0,3,female,28,1,1,14.4,S,6,50,5,56,2,43,F
0,3,male,18,1,1,20.2125,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.25,S,6,50,5,56,2,43,F
1,2,female,28,1,0,26,S,6,50,5,56,2,43,F
1,2,female,19,0,0,26,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.75,Q,6,50,5,56,2,43,F
1,3,male,32,0,0,8.05,S,4,10,5,56,2,43,D
1,1,male,28,0,0,26.55,S,2,52,5,56,2,43,B
1,3,female,29,1,0,16.1,S,6,50,5,56,2,43,F
1,2,female,42,1,0,26,S,6,50,5,56,2,43,F
0,3,male,17,0,0,7.125,S,6,50,5,56,2,43,F
0,1,male,50,1,0,55.9,S,4,44,5,56,2,43,D
1,1,female,14,1,2,120,S,1,96,0,98,2,43,A
0,3,female,21,2,2,34.375,S,6,50,5,56,2,43,F
1,2,female,24,2,3,18.75,S,6,50,5,56,2,43,F
0,1,male,64,1,4,263,S,2,23,1,25,1,27,B
0,2,male,31,0,0,10.5,S,6,50,5,56,2,43,F
1,2,female,45,1,1,26.25,S,6,50,5,56,2,43,F
0,3,male,20,0,0,9.5,S,6,50,5,56,2,43,F
0,3,male,25,1,0,7.775,S,6,50,5,56,2,43,F
1,2,female,28,0,0,13,S,6,50,5,56,2,43,F
1,3,male,29,0,0,8.1125,S,6,50,5,56,2,43,F
1,1,male,4,0,2,81.8583,S,0,34,5,56,2,43,@
1,2,female,13,0,1,19.5,S,6,50,5,56,2,43,F
1,1,male,34,0,0,26.55,S,6,50,5,56,2,43,F
1,3,female,5,2,1,19.2583,C,6,50,5,56,2,43,F
1,1,male,52,0,0,30.5,S,2,104,5,56,2,43,B
0,2,male,36,1,2,27.75,S,6,50,5,56,2,43,F
0,3,male,29,1,0,19.9667,S,6,50,5,56,2,43,F
0,1,male,30,0,0,27.75,C,2,111,5,56,2,43,B
1,1,male,49,1,0,89.1042,C,2,92,5,56,2,43,B
0,3,male,29,0,0,8.05,S,6,50,5,56,2,43,F
1,3,male,29,0,0,7.8958,C,6,50,5,56,2,43,F
0,1,male,65,0,0,26.55,S,4,38,5,56,2,43,D
1,1,female,29,1,0,51.8625,S,3,21,5,56,2,43,C
1,2,female,50,0,0,10.5,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.75,Q,6,50,5,56,2,43,F
1,1,male,48,0,0,26.55,S,4,12,5,56,2,43,D
0,3,male,34,0,0,8.05,S,6,50,5,56,2,43,F
0,1,male,47,0,0,38.5,S,4,63,5,56,2,43,D
0,2,male,48,0,0,13,S,6,50,5,56,2,43,F
0,3,male,29,0,0,8.05,S,6,50,5,56,2,43,F
0,3,male,38,0,0,7.05,S,6,50,5,56,2,43,F
0,2,male,29,0,0,0,S,6,50,5,56,2,43,F
0,1,male,56,0,0,26.55,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.725,Q,6,50,5,56,2,43,F
1,3,female,0.75,2,1,19.2583,C,6,50,5,56,2,43,F
0,3,male,29,0,0,7.25,S,6,50,5,56,2,43,F
0,3,male,38,0,0,8.6625,S,6,50,5,56,2,43,F
1,2,female,33,1,2,27.75,S,6,50,5,56,2,43,F
1,2,female,23,0,0,13.7917,C,3,50,5,56,2,43,C
0,3,female,22,0,0,9.8375,S,6,50,5,56,2,43,F
0,1,male,29,0,0,52,S,0,14,5,56,2,43,@
0,2,male,34,1,0,21,S,6,50,5,56,2,43,F
0,3,male,29,1,0,7.0458,S,6,50,5,56,2,43,F
0,3,male,22,0,0,7.5208,S,6,50,5,56,2,43,F
1,3,female,2,0,1,12.2875,S,6,50,5,56,2,43,F
0,3,male,9,5,2,46.9,S,6,50,5,56,2,43,F
0,2,male,29,0,0,0,S,6,50,5,56,2,43,F
0,3,male,50,0,0,8.05,S,6,50,5,56,2,43,F
1,3,female,63,0,0,9.5875,S,6,50,5,56,2,43,F
1,1,male,25,1,0,91.0792,C,1,49,5,56,2,43,A
0,3,female,29,3,1,25.4667,S,6,50,5,56,2,43,F
1,1,female,35,1,0,90,S,2,93,5,56,2,43,B
0,1,male,58,0,0,29.7,C,1,37,5,56,2,43,A
0,3,male,30,0,0,8.05,S,6,50,5,56,2,43,F
1,3,male,9,1,1,15.9,S,6,50,5,56,2,43,F
0,3,male,29,1,0,19.9667,S,6,50,5,56,2,43,F
0,3,male,21,0,0,7.25,S,6,50,5,56,2,43,F
0,1,male,55,0,0,30.5,S,2,30,5,56,2,43,B
0,1,male,71,0,0,49.5042,C,6,50,5,56,2,43,F
0,3,male,21,0,0,8.05,S,6,50,5,56,2,43,F
0,3,male,29,0,0,14.4583,C,6,50,5,56,2,43,F
1,1,female,54,1,0,78.2667,C,3,20,5,56,2,43,C
0,3,male,29,0,0,15.1,S,6,50,5,56,2,43,F
0,1,female,25,1,2,151.55,S,2,22,1,26,2,43,B
0,3,male,24,0,0,7.7958,S,6,50,5,56,2,43,F
0,3,male,17,0,0,8.6625,S,6,50,5,56,2,43,F
0,3,female,21,0,0,7.75,Q,6,50,5,56,2,43,F
0,3,female,29,0,0,7.6292,Q,6,50,5,56,2,43,F
0,3,female,37,0,0,9.5875,S,6,50,5,56,2,43,F
1,1,female,16,0,0,86.5,S,1,79,5,56,2,43,A
0,1,male,18,1,0,108.9,C,2,65,5,56,2,43,B
1,2,female,33,0,2,26,S,6,50,5,56,2,43,F
1,1,male,29,0,0,26.55,S,6,50,5,56,2,43,F
0,3,male,28,0,0,22.525,S,6,50,5,56,2,43,F
1,3,male,26,0,0,56.4958,S,6,50,5,56,2,43,F
1,3,male,29,0,0,7.75,Q,6,50,5,56,2,43,F
0,3,male,29,0,0,8.05,S,6,50,5,56,2,43,F
1,1,male,36,0,0,26.2875,S,4,25,5,56,2,43,D
1,1,female,54,1,0,59.4,C,6,50,5,56,2,43,F
0,3,male,24,0,0,7.4958,S,6,50,5,56,2,43,F
0,1,male,47,0,0,34.0208,S,3,46,5,56,2,43,C
1,2,female,34,0,0,10.5,S,5,33,5,56,2,43,E
0,3,male,29,0,0,24.15,Q,6,50,5,56,2,43,F
1,2,female,36,1,0,26,S,6,50,5,56,2,43,F
0,3,male,32,0,0,7.8958,S,6,50,5,56,2,43,F
1,1,female,30,0,0,93.5,S,1,73,5,56,2,43,A
0,3,male,22,0,0,7.8958,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.225,C,6,50,5,56,2,43,F
1,1,female,44,0,1,57.9792,C,1,18,5,56,2,43,A
0,3,male,29,0,0,7.2292,C,6,50,5,56,2,43,F
0,3,male,40.5,0,0,7.75,Q,6,50,5,56,2,43,F
1,2,female,50,0,0,10.5,S,6,50,5,56,2,43,F
0,1,male,29,0,0,221.7792,S,2,95,5,56,2,43,B
0,3,male,39,0,0,7.925,S,6,50,5,56,2,43,F
0,2,male,23,2,1,11.5,S,6,50,5,56,2,43,F
1,2,female,2,1,1,26,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.2292,C,6,50,5,56,2,43,F
0,3,male,17,1,1,7.2292,C,6,50,5,56,2,43,F
1,3,female,29,0,2,22.3583,C,6,50,5,56,2,43,F
0,3,female,30,0,0,8.6625,S,6,50,5,56,2,43,F
1,2,female,7,0,2,26.25,S,6,50,5,56,2,43,F
0,1,male,45,0,0,26.55,S,1,38,5,56,2,43,A
1,1,female,30,0,0,106.425,C,6,50,5,56,2,43,F
0,3,male,29,0,0,14.5,S,6,50,5,56,2,43,F
1,1,female,22,0,2,49.5,C,1,39,5,56,2,43,A
1,1,female,36,0,2,71,S,1,22,5,56,2,43,A
0,3,female,9,4,2,31.275,S,6,50,5,56,2,43,F
0,3,female,11,4,2,31.275,S,6,50,5,56,2,43,F
1,2,male,32,1,0,26,S,6,50,5,56,2,43,F
0,1,male,50,1,0,106.425,C,2,86,5,56,2,43,B
0,1,male,64,0,0,26,S,6,50,5,56,2,43,F
1,2,female,19,1,0,26,S,6,50,5,56,2,43,F
1,2,male,29,0,0,13.8625,C,6,50,5,56,2,43,F
0,3,male,33,1,1,20.525,S,6,50,5,56,2,43,F
1,2,male,8,1,1,36.75,S,6,50,5,56,2,43,F
1,1,male,17,0,2,110.8833,C,2,70,5,56,2,43,B
0,2,male,27,0,0,26,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.8292,Q,6,50,5,56,2,43,F
1,3,male,22,0,0,7.225,C,6,50,5,56,2,43,F
1,3,female,22,0,0,7.775,S,6,50,5,56,2,43,F
0,1,male,62,0,0,26.55,S,6,50,5,56,2,43,F
1,1,female,48,1,0,39.6,C,0,16,5,56,2,43,@
0,1,male,29,0,0,227.525,C,6,50,5,56,2,43,F
1,1,female,39,1,1,79.65,S,4,67,5,56,2,43,D
1,3,female,36,1,0,17.4,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.75,Q,6,50,5,56,2,43,F
0,3,male,40,0,0,7.8958,S,6,50,5,56,2,43,F
0,2,male,28,0,0,13.5,S,6,50,5,56,2,43,F
0,3,male,29,0,0,8.05,S,6,50,5,56,2,43,F
0,3,female,29,0,0,8.05,S,6,50,5,56,2,43,F
0,3,male,24,2,0,24.15,S,6,50,5,56,2,43,F
0,3,male,19,0,0,7.8958,S,6,50,5,56,2,43,F
0,3,female,29,0,4,21.075,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.2292,C,6,50,5,56,2,43,F
1,3,male,32,0,0,7.8542,S,6,50,5,56,2,43,F
1,2,male,62,0,0,10.5,S,6,50,5,56,2,43,F
1,1,female,53,2,0,51.4792,S,2,101,5,56,2,43,B
1,1,male,36,0,0,26.3875,S,4,25,5,56,2,43,D
1,3,female,29,0,0,7.75,Q,6,50,5,56,2,43,F
0,3,male,16,0,0,8.05,S,6,50,5,56,2,43,F
0,3,male,19,0,0,14.5,S,6,50,5,56,2,43,F
1,2,female,34,0,0,13,S,6,50,5,56,2,43,F
1,1,female,39,1,0,55.9,S,4,44,5,56,2,43,D
0,3,female,29,1,0,14.4583,C,6,50,5,56,2,43,F
1,3,male,32,0,0,7.925,S,6,50,5,56,2,43,F
1,2,female,25,1,1,30,S,6,50,5,56,2,43,F
1,1,female,39,1,1,110.8833,C,2,68,5,56,2,43,B
0,2,male,54,0,0,26,S,6,50,5,56,2,43,F
0,1,male,36,0,0,40.125,C,0,10,5,56,2,43,@
0,3,male,29,0,0,8.7125,C,6,50,5,56,2,43,F
1,1,female,18,0,2,79.65,S,4,68,5,56,2,43,D
0,2,male,47,0,0,15,S,6,50,5,56,2,43,F
1,1,male,60,1,1,79.2,C,1,41,5,56,2,43,A
0,3,male,22,0,0,8.05,S,6,50,5,56,2,43,F
0,3,male,29,0,0,8.05,S,6,50,5,56,2,43,F
0,3,male,35,0,0,7.125,S,6,50,5,56,2,43,F
1,1,female,52,1,0,78.2667,C,3,20,5,56,2,43,C
