Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,C1,c_1,C2,c_2,C3,c_3,Cabin
0,3,male,47,0,0,7.25,S,6,50,5,56,2,43,F
0,3,female,29,0,2,7.75,Q,6,50,5,56,2,43,F
0,2,male,37,1,0,26,S,6,50,5,56,2,43,F
0,3,male,36,1,1,24.15,S,6,50,5,56,2,43,F
1,2,female,29,0,0,33,S,6,50,5,56,2,43,F
0,3,male,49,0,0,0,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.225,C,6,50,5,56,2,43,F
1,1,male,49,1,0,56.9292,C,0,20,5,56,2,43,@
1,2,female,24,2,1,27,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.8958,S,6,50,5,56,2,43,F
0,1,male,29,0,0,42.4,S,6,50,5,56,2,43,F
0,3,male,44,0,0,8.05,S,6,50,5,56,2,43,F
1,1,male,35,0,0,26.55,C,6,50,5,56,2,43,F
0,3,male,36,1,0,15.55,S,6,50,5,56,2,43,F
0,3,male,30,0,0,7.8958,S,6,50,5,56,2,43,F
1,1,male,27,0,0,30.5,S,6,50,5,56,2,43,F
1,2,female,22,1,2,41.5792,C,6,50,5,56,2,43,F
1,1,female,40,0,0,153.4625,S,2,125,5,56,2,43,B
0,3,female,39,1,5,31.275,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.05,S,6,50,5,56,2,43,F
1,3,female,29,1,0,15.5,Q,6,50,5,56,2,43,F
0,3,male,29,0,0,7.75,Q,6,50,5,56,2,43,F
0,3,male,35,0,0,8.05,S,6,50,5,56,2,43,F
1,2,female,24,1,2,65,S,6,50,5,56,2,43,F
0,3,male,34,1,1,14.4,S,6,50,5,56,2,43,F
0,3,female,26,1,0,16.1,S,6,50,5,56,2,43,F
1,2,female,4,2,1,39,S,5,4,5,56,2,43,E
0,2,male,26,0,0,10.5,S,6,50,5,56,2,43,F
0,3,male,27,1,0,14.4542,C,6,50,5,56,2,43,F
1,1,male,42,1,0,52.5542,S,3,19,5,56,2,43,C
1,3,male,20,1,1,15.7417,C,6,50,5,56,2,43,F
0,3,male,21,0,0,7.8542,S,6,50,5,56,2,43,F
0,3,male,21,0,0,16.1,S,6,50,5,56,2,43,F
0,1,male,61,0,0,32.3208,S,3,50,5,56,2,43,C
0,2,male,57,0,0,12.35,Q,6,50,5,56,2,43,F
1,1,female,21,0,0,77.9583,S,3,9,5,56,2,43,C
0,3,male,26,0,0,7.8958,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.7333,Q,6,50,5,56,2,43,F
1,1,male,80,0,0,30,S,0,23,5,56,2,43,@
0,3,male,51,0,0,7.0542,S,6,50,5,56,2,43,F
1,1,male,32,0,0,30.5,C,1,50,5,56,2,43,A
0,1,male,29,0,0,0,S,6,50,5,56,2,43,F
0,3,female,9,3,2,27.9,S,6,50,5,56,2,43,F
1,2,female,28,0,0,13,S,6,50,5,56,2,43,F
0,3,male,32,0,0,7.925,S,6,50,5,56,2,43,F
0,2,male,31,1,1,26.25,S,6,50,5,56,2,43,F
0,3,female,41,0,5,39.6875,S,6,50,5,56,2,43,F
0,3,male,29,1,0,16.1,S,6,50,5,56,2,43,F
0,3,male,20,0,0,7.8542,S,6,50,5,56,2,43,F
1,1,female,24,0,0,69.3,C,1,35,5,56,2,43,A
0,3,female,2,3,2,27.9,S,6,50,5,56,2,43,F
1,3,male,29,0,0,56.4958,S,6,50,5,56,2,43,F
1,3,female,0.75,2,1,19.2583,C,6,50,5,56,2,43,F
1,1,male,48,1,0,76.7292,C,3,33,5,56,2,43,C
0,3,male,19,0,0,7.8958,S,6,50,5,56,2,43,F
1,1,male,56,0,0,35.5,C,0,26,5,56,2,43,@
0,3,male,29,0,0,7.55,S,6,50,5,56,2,43,F
1,3,female,23,0,0,7.55,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.8958,S,6,50,5,56,2,43,F
1,2,female,18,0,1,23,S,6,50,5,56,2,43,F
0,3,male,21,0,0,8.4333,S,6,50,5,56,2,43,F
1,3,female,29,0,0,7.8292,Q,6,50,5,56,2,43,F
0,3,female,18,0,0,6.75,Q,6,50,5,56,2,43,F
0,2,male,24,2,0,73.5,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.8958,S,6,50,5,56,2,43,F
0,3,female,32,1,1,15.5,Q,6,50,5,56,2,43,F
0,2,male,23,0,0,13,S,6,50,5,56,2,43,F
0,1,male,58,0,2,113.275,C,3,48,5,56,2,43,C
1,1,male,50,2,0,133.65,S,6,50,5,56,2,43,F
0,3,male,40,0,0,7.225,C,6,50,5,56,2,43,F
0,1,male,47,0,0,25.5875,S,4,58,5,56,2,43,D
0,3,male,36,0,0,7.4958,S,6,50,5,56,2,43,F
1,3,male,20,1,0,7.925,S,6,50,5,56,2,43,F
0,2,male,32,2,0,73.5,S,6,50,5,56,2,43,F
0,2,male,25,0,0,13,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.775,S,6,50,5,56,2,43,F
0,3,male,43,0,0,8.05,S,6,50,5,56,2,43,F
1,1,female,29,1,0,52,S,2,126,5,56,2,43,B
1,2,female,40,1,1,39,S,6,50,5,56,2,43,F
0,1,male,31,1,0,52,S,1,71,5,56,2,43,A
0,2,male,70,0,0,10.5,S,6,50,5,56,2,43,F
1,2,male,31,0,0,13,S,6,50,5,56,2,43,F
0,2,male,29,0,0,0,S,6,50,5,56,2,43,F
0,3,male,18,0,0,7.775,S,6,50,5,56,2,43,F
0,3,male,24.5,0,0,8.05,S,6,50,5,56,2,43,F
1,3,female,18,0,0,9.8417,S,6,50,5,56,2,43,F
0,3,female,43,1,6,46.9,S,6,50,5,56,2,43,F
1,1,male,36,0,1,512.3292,C,1,51,0,53,0,55,A
0,3,female,29,0,0,8.1375,Q,6,50,5,56,2,43,F
1,1,male,27,0,0,76.7292,C,3,49,5,56,2,43,C
0,3,male,20,0,0,9.225,S,6,50,5,56,2,43,F
0,3,male,14,5,2,46.9,S,6,50,5,56,2,43,F
0,2,male,60,1,1,39,S,6,50,5,56,2,43,F
0,2,male,25,1,2,41.5792,C,6,50,5,56,2,43,F
0,3,male,14,4,1,39.6875,S,6,50,5,56,2,43,F
0,3,male,19,0,0,10.1708,S,6,50,5,56,2,43,F
0,3,male,18,0,0,7.7958,S,6,50,5,56,2,43,F
1,1,female,15,0,1,211.3375,S,1,5,5,56,2,43,A
1,1,male,31,1,0,57,S,1,20,5,56,2,43,A
1,3,female,4,0,1,13.4167,C,6,50,5,56,2,43,F
1,3,male,29,0,0,56.4958,S,6,50,5,56,2,43,F
0,3,male,25,0,0,7.225,C,6,50,5,56,2,43,F
0,1,male,60,0,0,26.55,S,6,50,5,56,2,43,F
0,2,male,52,0,0,13.5,S,6,50,5,56,2,43,F
0,3,male,44,0,0,8.05,S,6,50,5,56,2,43,F
1,3,female,29,0,0,7.7333,Q,6,50,5,56,2,43,F
0,1,male,49,1,1,110.8833,C,2,68,5,56,2,43,B
0,3,male,42,0,0,7.65,S,5,50,4,63,2,43,E
1,1,female,18,1,0,227.525,C,2,62,1,64,2,43,B
1,1,male,35,0,0,26.2875,S,4,24,5,56,2,43,D
0,3,female,18,0,1,14.4542,C,6,50,5,56,2,43,F
0,3,male,25,0,0,7.7417,Q,6,50,5,56,2,43,F
0,3,male,26,1,0,7.8542,S,6,50,5,56,2,43,F
0,2,male,39,0,0,26,S,6,50,5,56,2,43,F
1,2,female,45,0,0,13.5,S,6,50,5,56,2,43,F
1,1,male,42,0,0,26.2875,S,4,24,5,56,2,43,D
1,1,female,22,0,0,151.55,S,6,50,5,56,2,43,F
1,3,male,29,1,1,15.2458,C,6,50,5,56,2,43,F
1,1,female,24,0,0,49.5042,C,2,90,5,56,2,43,B
0,1,male,29,0,0,26.55,S,2,124,5,56,2,43,B
1,1,male,48,1,0,52,S,2,126,5,56,2,43,B
0,3,male,29,0,0,9.4833,S,6,50,5,56,2,43,F
0,2,male,52,0,0,13,S,6,50,5,56,2,43,F
0,3,male,19,0,0,7.65,S,5,50,4,73,2,43,E
1,1,female,38,0,0,227.525,C,2,45,5,56,2,43,B
1,2,female,27,0,0,10.5,S,4,101,5,56,2,43,D
0,3,male,29,0,0,15.5,Q,6,50,5,56,2,43,F
0,3,male,33,0,0,7.775,S,6,50,5,56,2,43,F
1,2,female,6,0,1,33,S,6,50,5,56,2,43,F
0,3,male,17,1,0,7.0542,S,6,50,5,56,2,43,F
0,2,male,34,0,0,13,S,6,50,5,56,2,43,F
0,2,male,50,0,0,13,S,6,50,5,56,2,43,F
1,1,male,27,1,0,53.1,S,4,8,5,56,2,43,D
0,3,male,20,0,0,8.6625,S,6,50,5,56,2,43,F
1,2,female,30,3,0,21,S,6,50,5,56,2,43,F
1,3,female,29,0,0,7.7375,Q,6,50,5,56,2,43,F
0,2,male,25,1,0,26,S,6,50,5,56,2,43,F
0,3,female,25,1,0,7.925,S,6,50,5,56,2,43,F
1,1,female,29,0,0,211.3375,S,1,5,5,56,2,43,A
0,3,male,11,0,0,18.7875,C,6,50,5,56,2,43,F
0,2,male,29,0,0,0,S,6,50,5,56,2,43,F
0,2,male,23,0,0,13,S,6,50,5,56,2,43,F
0,2,male,23,0,0,13,S,6,50,5,56,2,43,F
0,3,male,28.5,0,0,16.1,S,6,50,5,56,2,43,F
0,3,female,48,1,3,34.375,S,6,50,5,56,2,43,F
1,1,male,35,0,0,512.3292,C,1,101,5,56,2,43,A
0,3,male,29,0,0,7.8958,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.8958,S,6,50,5,56,2,43,F
1,1,male,29,0,0,30,S,3,45,5,56,2,43,C
0,1,male,36,1,0,78.85,S,2,46,5,56,2,43,B
1,1,female,21,2,2,262.375,C,1,57,0,59,0,63,A
0,3,male,24,1,0,16.1,S,6,50,5,56,2,43,F
1,3,male,31,0,0,7.925,S,6,50,5,56,2,43,F
0,1,male,70,1,1,71,S,1,22,5,56,2,43,A
0,3,male,16,1,1,20.25,S,6,50,5,56,2,43,F
1,2,female,30,0,0,13,S,6,50,5,56,2,43,F
0,1,male,19,1,0,53.1,S,3,30,5,56,2,43,C
0,3,male,31,0,0,7.75,Q,6,50,5,56,2,43,F
1,2,female,4,1,1,23,S,6,50,5,56,2,43,F
1,3,male,6,0,1,12.475,S,4,121,5,56,2,43,D
0,3,male,33,0,0,9.5,S,6,50,5,56,2,43,F
0,3,male,23,0,0,7.8958,S,6,50,5,56,2,43,F
1,2,female,48,1,2,65,S,6,50,5,56,2,43,F
1,2,male,0.67,1,1,14.5,S,6,50,5,56,2,43,F
0,3,male,28,0,0,7.7958,S,6,50,5,56,2,43,F
0,2,male,18,0,0,11.5,S,6,50,5,56,2,43,F
0,3,male,34,0,0,8.05,S,6,50,5,56,2,43,F
1,1,female,33,0,0,86.5,S,1,77,5,56,2,43,A
0,3,male,29,0,0,14.5,S,6,50,5,56,2,43,F
0,3,male,41,0,0,7.125,S,6,50,5,56,2,43,F
1,3,male,20,0,0,7.2292,C,6,50,5,56,2,43,F
1,1,female,36,1,2,120,S,1,96,0,98,2,43,A
0,3,male,16,0,0,7.775,S,6,50,5,56,2,43,F
1,1,female,51,1,0,77.9583,S,3,11,5,56,2,43,C
0,1,male,29,0,0,39.6,C,6,50,5,56,2,43,F
0,3,female,30.5,0,0,7.75,Q,6,50,5,56,2,43,F
0,3,male,29,1,0,24.15,Q,6,50,5,56,2,43,F
0,3,male,32,0,0,8.3625,S,6,50,5,56,2,43,F
0,3,male,24,0,0,9.5,S,6,50,5,56,2,43,F
0,3,male,48,0,0,7.8542,S,6,50,5,56,2,43,F
0,2,female,57,0,0,10.5,S,4,77,5,56,2,43,D
0,3,male,29,0,0,7.225,C,6,50,5,56,2,43,F
1,2,female,54,1,3,23,S,6,50,5,56,2,43,F
0,3,male,18,0,0,7.75,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.75,Q,5,38,5,56,2,43,E
1,3,female,5,0,0,12.475,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.7375,Q,6,50,5,56,2,43,F
1,1,female,43,0,1,211.3375,S,1,3,5,56,2,43,A
1,3,female,13,0,0,7.2292,C,6,50,5,56,2,43,F
1,1,female,17,1,0,57,S,1,20,5,56,2,43,A
0,1,male,29,0,0,30,S,3,6,5,56,2,43,C
0,3,male,29,1,2,23.45,S,6,50,5,56,2,43,F
0,3,male,25,0,0,7.05,S,6,50,5,56,2,43,F
0,3,male,25,0,0,7.25,S,6,50,5,56,2,43,F
1,3,female,18,0,0,7.4958,S,6,50,5,56,2,43,F
0,3,male,8,4,1,29.125,Q,6,50,5,56,2,43,F
1,3,male,1,1,2,20.575,S,6,50,5,56,2,43,F
0,1,male,46,0,0,79.2,C,1,82,0,84,2,43,A
0,3,male,29,0,0,7.75,Q,6,50,5,56,2,43,F
0,2,male,16,0,0,26,S,6,50,5,56,2,43,F
0,3,female,29,8,2,69.55,S,6,50,5,56,2,43,F
0,1,male,29,0,0,30.6958,C,6,50,5,56,2,43,F
0,3,male,25,0,0,7.8958,S,6,50,5,56,2,43,F
0,2,male,39,0,0,13,S,6,50,5,56,2,43,F
1,1,female,49,0,0,25.9292,S,3,17,5,56,2,43,C
1,3,female,31,0,0,8.6833,S,6,50,5,56,2,43,F
0,3,male,30,0,0,7.2292,C,6,50,5,56,2,43,F
0,3,female,30,1,1,24.15,S,6,50,5,56,2,43,F
0,2,male,34,0,0,13,S,6,50,5,56,2,43,F
1,2,female,31,1,1,26.25,S,6,50,5,56,2,43,F
1,1,male,11,1,2,120,S,1,96,0,98,2,43,A
1,3,male,0.42,0,1,8.5167,C,6,50,5,56,2,43,F
1,3,male,27,0,0,6.975,S,6,50,5,56,2,43,F
0,3,male,31,0,0,7.775,S,6,50,5,56,2,43,F
0,1,male,39,0,0,0,S,0,36,5,56,2,43,@
0,3,female,18,0,0,7.775,S,6,50,5,56,2,43,F
0,2,male,39,0,0,13,S,6,50,5,56,2,43,F
1,1,female,33,1,0,53.1,S,4,8,5,56,2,43,D
0,3,male,26,0,0,7.8875,S,6,50,5,56,2,43,F
0,3,male,39,0,0,24.15,S,6,50,5,56,2,43,F
0,2,male,35,0,0,10.5,S,6,50,5,56,2,43,F
0,3,female,6,4,2,31.275,S,6,50,5,56,2,43,F
0,3,male,30.5,0,0,8.05,S,6,50,5,56,2,43,F
0,1,male,29,0,0,0,S,1,102,5,56,2,43,A
0,3,female,23,0,0,7.925,S,6,50,5,56,2,43,F
0,2,male,31,1,1,37.0042,C,6,50,5,56,2,43,F
0,3,male,43,0,0,6.45,S,6,50,5,56,2,43,F
0,3,male,10,3,2,27.9,S,6,50,5,56,2,43,F
1,1,female,52,1,1,93.5,S,1,69,5,56,2,43,A
1,3,male,27,0,0,8.6625,S,6,50,5,56,2,43,F
0,1,male,38,0,0,0,S,6,50,5,56,2,43,F
1,3,female,27,0,1,12.475,S,4,121,5,56,2,43,D
0,3,male,2,4,1,39.6875,S,6,50,5,56,2,43,F
0,3,male,29,0,0,6.95,Q,6,50,5,56,2,43,F
0,3,male,29,0,0,56.4958,S,6,50,5,56,2,43,F
1,2,male,1,0,2,37.0042,C,6,50,5,56,2,43,F
1,3,male,29,0,0,7.75,Q,6,50,5,56,2,43,F
1,1,female,62,0,0,80,,1,28,5,56,2,43,A
1,3,female,15,1,0,14.4542,C,6,50,5,56,2,43,F
1,2,male,0.83,1,1,18.75,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.2292,C,6,50,5,56,2,43,F
0,3,male,23,0,0,7.8542,S,6,50,5,56,2,43,F
0,3,male,18,0,0,8.3,S,6,50,5,56,2,43,F
1,1,female,39,1,1,83.1583,C,4,49,5,56,2,43,D
0,3,male,21,0,0,8.6625,S,6,50,5,56,2,43,F
0,3,male,29,0,0,8.05,S,6,50,5,56,2,43,F
1,3,male,32,0,0,56.4958,S,6,50,5,56,2,43,F
1,1,male,29,0,0,29.7,C,2,47,5,56,2,43,B
0,3,male,20,0,0,7.925,S,6,50,5,56,2,43,F
0,2,male,16,0,0,10.5,S,6,50,5,56,2,43,F
1,1,female,30,0,0,31,C,6,50,5,56,2,43,F
0,3,male,34.5,0,0,6.4375,C,6,50,5,56,2,43,F
0,3,male,17,0,0,8.6625,S,6,50,5,56,2,43,F
0,3,male,42,0,0,7.55,S,6,50,5,56,2,43,F
0,3,male,29,8,2,69.55,S,6,50,5,56,2,43,F
0,3,male,35,0,0,7.8958,C,6,50,5,56,2,43,F
0,2,male,28,0,1,33,S,6,50,5,56,2,43,F
1,1,female,29,1,0,89.1042,C,2,92,5,56,2,43,B
0,3,male,4,4,2,31.275,S,6,50,5,56,2,43,F
0,3,male,74,0,0,7.775,S,6,50,5,56,2,43,F
0,3,female,9,1,1,15.2458,C,6,50,5,56,2,43,F
1,1,female,16,0,1,39.4,S,3,28,5,56,2,43,C
0,2,female,44,1,0,26,S,6,50,5,56,2,43,F
1,3,female,18,0,1,9.35,S,6,50,5,56,2,43,F
1,1,female,45,1,1,164.8667,S,6,50,5,56,2,43,F
1,1,male,51,0,0,26.55,S,4,17,5,56,2,43,D
1,3,female,24,0,3,19.2583,C,6,50,5,56,2,43,F
0,3,male,29,0,0,7.2292,C,6,50,5,56,2,43,F
0,3,male,41,2,0,14.1083,S,6,50,5,56,2,43,F
0,2,male,21,1,0,11.5,S,6,50,5,56,2,43,F
1,1,female,48,0,0,25.9292,S,3,17,5,56,2,43,C
0,3,female,29,8,2,69.55,S,6,50,5,56,2,43,F
0,2,male,24,0,0,13,S,6,50,5,56,2,43,F
1,2,female,42,0,0,13,S,6,50,5,56,2,43,F
1,2,female,27,1,0,13.8583,C,6,50,5,56,2,43,F
0,1,male,31,0,0,50.4958,S,0,24,5,56,2,43,@
0,3,male,29,0,0,9.5,S,6,50,5,56,2,43,F
1,3,male,4,1,1,11.1333,S,6,50,5,56,2,43,F
0,3,male,26,0,0,7.8958,S,6,50,5,56,2,43,F
1,1,female,47,1,1,52.5542,S,3,35,5,56,2,43,C
0,1,male,33,0,0,5,S,1,51,0,53,0,55,A
0,3,male,47,0,0,9,S,6,50,5,56,2,43,F
1,2,female,28,1,0,24,C,6,50,5,56,2,43,F
1,3,female,15,0,0,7.225,C,6,50,5,56,2,43,F
0,3,male,20,0,0,9.8458,S,6,50,5,56,2,43,F
0,3,male,19,0,0,7.8958,S,6,50,5,56,2,43,F
0,3,male,29,0,0,7.8958,S,6,50,5,56,2,43,F
1,1,female,56,0,1,83.1583,C,2,50,5,56,2,43,B
1,2,female,25,0,1,26,S,6,50,5,56,2,43,F
0,3,male,33,0,0,7.8958,S,6,50,5,56,2,43,F
0,3,female,22,0,0,10.5167,S,6,50,5,56,2,43,F
0,2,male,28,0,0,10.5,S,6,50,5,56,2,43,F
0,3,male,25,0,0,7.05,S,6,50,5,56,2,43,F
0,3,female,39,0,5,29.125,Q,6,50,5,56,2,43,F
0,2,male,27,0,0,13,S,6,50,5,56,2,43,F
1,1,female,19,0,0,30,S,1,42,5,56,2,43,A
0,3,female,29,1,2,23.45,S,6,50,5,56,2,43,F
1,1,male,26,0,0,30,C,2,148,5,56,2,43,B
0,3,male,32,0,0,7.75,Q,6,50,5,56,2,43,F
